Latitudes,Longitudes
40.60195932604615,-79.75020337232094
40.553207304134084,-79.75997167811674
40.54295951748107,-79.77573886880575
40.49421272686416,-79.93306193179195
40.464518206598484,-79.94167587510285
40.455457157361685,-79.90408566405301
40.43630517670897,-79.8835584964305
40.43207833223034,-79.88445097889975
40.442340396996826,-80.00078234725373
40.45130952612633,-80.02036012296115
40.44008869857639,-80.03421341206207
40.49931537995327,-80.06755171029675
40.52216445279767,-80.0806861289104
40.39920591983468,-80.1125727110626
40.366499959805125,-80.23364394576713
40.23224661330653,-80.25746833687573
